0.239,-0.00423,-0.00671,,
0.24,0.00389,-0.00667,,
0.241,0.01063,-0.0063,,
0.242,0.0158,-0.0056,,
0.243,0.0193,-0.00457,,
0.244,0.02112,-0.00325,,
0.245,0.02135,-0.00169,,
0.246,0.02029,3.99E-05,,
0.247,0.01825,0.00186,,
0.248,0.01556,0.00369,,
0.249,0.01253,0.00541,,
0.25,0.00943,0.00695,,
0.251,0.00662,0.00823,,
0.252,0.00431,0.00917,,
0.253,0.00261,0.00972,,
0.254,0.00156,0.00985,,
0.255,0.00101,0.00955,,
0.256,8.93E-04,0.00884,,
0.257,0.00102,0.00776,,
0.258,0.00119,0.00636,,
0.259,0.00117,0.00473,,
0.26,7.18E-04,0.00294,,
0.261,-3.02E-04,0.00111,,
0.262,-0.00196,-6.64E-04,,
0.263,-0.00426,-0.00229,,
0.264,-0.00709,-0.00368,,
0.265,-0.01028,-0.00476,,
0.266,-0.01362,-0.00549,,
0.267,-0.0168,-0.00583,,
0.268,-0.01952,-0.00579,,
0.269,-0.02143,-0.0054,,
0.27,-0.02225,-0.00469,,
0.271,-0.0218,-0.00374,,
0.272,-0.01997,-0.00264,,
0.273,-0.01671,-0.00147,,
0.274,-0.0121,-3.21E-04,,
0.275,-0.00634,7.26E-04,,
0.276,2.64E-04,0.00159,,
0.277,0.00733,0.00223,,
0.278,0.01447,0.0026,,
0.279,0.02126,0.00271,,
0.28,0.02725,0.00258,,
0.281,0.03208,0.00224,,
0.282,0.03548,0.00175,,
0.283,0.03729,0.00119,,
0.284,0.03745,6.22E-04,,
0.285,0.036,1.30E-04,,
0.286,0.03318,-2.25E-04,,
0.287,0.02929,-3.95E-04,,
0.288,0.02471,-3.52E-04,,
0.289,0.01988,-8.44E-05,,
0.29,0.01522,3.89E-04,,
0.291,0.01123,0.00104,,
0.292,0.00827,0.00181,,
0.293,0.00664,0.00266,,
0.294,0.00653,0.0035,,
0.295,0.00796,0.00427,,
0.296,0.01088,0.00492,,
0.297,0.01511,0.00541,,
0.298,0.02035,0.0057,,
0.299,0.02621,0.00578,,
0.3,0.03218,0.00567,,
0.301,0.0378,0.00538,,
0.302,0.04261,0.00496,,
0.303,0.04624,0.00445,,
0.304,0.04842,0.00389,,
0.305,0.04886,0.00333,,
0.306,0.04752,0.00283,,
0.307,0.04444,0.00239,,
0.308,0.03982,0.00205,,
0.309,0.03403,0.00182,,
0.31,0.02753,0.00168,,
0.311,0.02089,0.00162,,
0.312,0.01465,0.00162,,
0.313,0.00931,0.00165,,
0.314,0.00526,0.00168,,
0.315,0.00326,0.00171,,
0.316,0.00372,0.0017,,
0.317,0.00688,0.00166,,
0.318,0.01267,0.0016,,
0.319,0.02047,0.0015,,
0.32,0.03057,0.00142,,
0.321,0.04245,0.00137,,
